date;budgetYear;description;amountUSD;srcOrganization;srcOrganizationTypes;srcLocations;srcUsageYearStart;srcUsageYearEnd;destPlan;destPlanCode;destPlanId;destOrganization;destOrganizationTypes;destGlobalClusters;destLocations;destProject;destProjectCode;destEmergency;destUsageYearStart;destUsageYearEnd;contributionType;flowType;method;boundary;onBoundary;status;firstReportedDate;decisionDate;keywords;originalAmount;originalCurrency;exchangeRate;id;refCode;createdAt;updatedAt;;
#date;#date+year+budget;#description+notes;#value+funding+total+usd;#org+name+funder;#org+type+funder+list;#country+iso3+funder+list;#date+year+start+funder;#date+year+end+funder;#activity+appeal+name;#activity+appeal+id+external;#activity+appeal+id+fts_internal;#org+name+impl;#org+type+impl+list;#sector+cluster+name+list;#country+iso3+impl+list;#activity+project+name;#activity+project+code;#crisis+name;#date+year+start+impl;#date+year+end+impl;#financial+contribution+type;#financial+contribution+type;#financial+method;#financial+direction;#financial+direction+type;#status+text;#date+reported;#date+decision;#description+keywords;#value+funding+total;#value+funding+total+currency;#financial+fx;#activity+id+fts_internal;#activity+code;#date+created;#date+updated;;
08/05/2024;2024;East  Southern Africa - Emergency Food Assistance - 2024;16042781;European Commission's Humanitarian Aid and Civil Protection Department;Multilateral Organizations;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;World Food Programme;Multilateral Organizations;Food Security;SDN;FOOD CRISIS RESPONSE FOR PEOPLE AFFECTED BY CONFLICT IN SUDAN;HSDN24-FSC-209219-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;commitment;09/05/2024;08/05/2024;;15000000;EUR;0.935;307898;ECHO/-HF/BUD/2024/91033;10/05/2024;10/05/2024;;
08/05/2024;2024;Provision of comprehensive protection and humanitarian assistance to forcibly displaced communities in Sudan;2139037;European Commission's Humanitarian Aid and Civil Protection Department;Multilateral Organizations;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;United Nations High Commissioner for Refugees;Multilateral Organizations;Protection;SDN;Protection Support for Internally Displaced and Returnees in Sudan;HSDN24-PRO-209390-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;commitment;09/05/2024;08/05/2024;;2000000;EUR;0.935;307918;ECHO/-HF/BUD/2024/91035;10/05/2024;10/05/2024;;
06/05/2024;2024;Lifesaving Emergency Response to War-Affected IDPs in Sennar State, Sudan;447980;Sweden, Government of;Governments;SWE;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Islamic Relief Worldwide;NGOs;Food Security;SDN;Improved Access to basic services through Provision of Integrated WASH, Education, FSL, Health and Nutrition services mainstreamed by Protection interventions for Ethiopian, South Sudanese refugees and war affected populations in Gadaref, Blue Nile and West Kordofan;HSDN24-RR-208858-1;;2024;2024;financial;Standard;Traditional aid;incoming;single;commitment;08/05/2024;06/05/2024;;4900000;SEK;10.938;307889;Sida contribution number 15157;10/05/2024;10/05/2024;;
25/04/2024;2024;Gender-responsive and quality lifesaving healthcare to conflict-affected people in Sudan;0;Central Emergency Response Fund;Pooled Funds;;2024;2024;;;;World Health Organization;Multilateral Organizations;;SDN;;;;2024;2024;financial;Parked;Traditional aid;incoming;single;paid;19/04/2024;18/04/2024;Underfunded;;;;306258;24-UF-WHO-009;27/04/2024;29/04/2024;;
25/04/2024;;Gender-responsive and quality lifesaving healthcare to conflict-affected people in Sudan;1000000;Central Emergency Response Fund;Pooled Funds;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;World Health Organization;Multilateral Organizations;Health;SDN;;;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;19/04/2024;;Underfunded;;;;306259;24-UF-WHO-009;27/04/2024;29/04/2024;;
19/04/2024;2024;Emergency seed distribution to safeguard food and nutrition security, local food production, and income of conflict-affected smallholder rainfed farmers in Darfur and Kordofan regions of Sudan;0;Central Emergency Response Fund;Pooled Funds;;2024;2024;;;;Food and Agriculture Organization of the United Nations;Multilateral Organizations;;SDN;;;;2024;2024;financial;Parked;Traditional aid;incoming;single;paid;17/04/2024;16/04/2024;Underfunded;;;;305769;24-UF-FAO-009;20/04/2024;21/04/2024;;
19/04/2024;;Emergency seed distribution to safeguard food and nutrition security, local food production, and income of conflict-affected smallholder rainfed farmers in Darfur and Kordofan regions of Sudan;5000000;Central Emergency Response Fund;Pooled Funds;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Food and Agriculture Organization of the United Nations;Multilateral Organizations;Food Security;SDN;Provision of live-saving and live-sustaining support for conflict affected vulnerable farmers, agro pastoralists, pastoralists and fishery communities in Sudan;HSDN24-FSC-208877-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;17/04/2024;;Underfunded;;;;305770;24-UF-FAO-009;20/04/2024;21/04/2024;;
18/04/2024;2024;Providing essential life-saving assistance to crisis-affected populations during and after emergencies in Sudan;0;Central Emergency Response Fund;Pooled Funds;;2024;2024;;;;International Organization for Migration;Multilateral Organizations;;SDN;;;;2024;2024;financial;Parked;Traditional aid;incoming;single;paid;17/04/2024;16/04/2024;Underfunded;;;;305760;24-UF-IOM-003;19/04/2024;09/05/2024;;
18/04/2024;;Providing essential life-saving assistance to crisis-affected populations during and after emergencies in Sudan;2345000;Central Emergency Response Fund;Pooled Funds;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;International Organization for Migration;Multilateral Organizations;Emergency Shelter and NFI;SDN;Provision of Lifesaving Emergency Shelter and Non-Food Items Assistance in Sudan;HSDN24-SHL-209296-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;17/04/2024;;Underfunded;;;;305761;24-UF-IOM-003;19/04/2024;09/05/2024;;
